Department,File Name,STT Transcription,STT Model,Human Reviewed,Final,Status,Reviewer,Timestamp
Helpdesk,HD_Q_2.ogg,हॅलो मी करुणा गावडे मला आयुष्यमान कार्ड काढायचं आहे त्याच्यासाठी काय काय डॉक्युमेंट लागतील,saarika:v2.5,,,pending_review,,2026-02-05T21:36:51.799042
Helpdesk,HD_Q_3.ogg,मेरे लड़के का डेथ सर्टिफिकेट मंगाना है अभी तक निकाला नहीं है तो उसके लिए क्या कर सकते हैं,saarika:v2.5,,,pending_review,,2026-02-05T21:36:54.225168
Helpdesk,HD_Q_4.ogg,मेरा नाम सीमा है आपने जो मेरा वोटिंग कार्ड बनाया था वो मुझे बना के चाहिए,saarika:v2.5,,,pending_review,,2026-02-05T21:36:57.153952
Helpdesk,HD_Q_5.ogg,हेलो मैडम मैं चंदा देवी बोल रही हूँ हमारे आधार कार्ड में यहाँ का एड्रेस डालने का है हो जाएगा क्या,saarika:v2.5,,,pending_review,,2026-02-05T21:37:00.195265
Helpdesk,HD_Q_6.ogg,"हॅलो प्रीती, मी सारिका बोलतेय. त्या कोपलकर मावशी आहेत ना, त्यांनी काय सांगितलंय की त्यांचं डॉक्युमेंट्स सबमिट केले त्यांनी, तर त्यांचं काम झालेलं आहे, थोडंसंच राहिलंय आता बघतो.",saarika:v2.5,,,pending_review,,2026-02-05T21:37:03.815185
Helpdesk,HD_Q_7.ogg,"मी संचिता ऐके बोलते आहे, आज आपल्याला पोस्टात जायचं आहे.",saarika:v2.5,,,pending_review,,2026-02-05T21:37:06.622667
Helpdesk,HD_Q_8.ogg,कौन सा फ़ोन भरा था मुझे समझ में नहीं आ रहा है और मालूम भी नहीं है।,saarika:v2.5,,,pending_review,,2026-02-05T21:37:10.105981
Helpdesk,Hd_Q_1.ogg,हेलो दीदी मैं दिव्या बोल रही हूँ मेरा आधार कार्ड पैन कार्ड लिंक नहीं है तो क्या करूँ मैं,saarika:v2.5,,,pending_review,,2026-02-05T21:37:13.253227
Helpdesk,Hd_Q_10.ogg,मैं निर्मला प्रजापति पोस्ट ऑफिस में मुझे पैसा भरना है क्या क्या डॉक्यूमेंट लगेगा,saarika:v2.5,,,pending_review,,2026-02-05T21:37:16.787666
Helpdesk,Hd_Q_11.ogg,"मॅडम मी संध्या पवार बोलते. मी पोस्टामध्ये गेले होते आयडी खोलण्यासाठी. तर आधार कार्ड, पेन कार्ड लिंक नाही. तर त्यांनी सांगितले आधार कार्ड, पेन कार्ड लिंक करण्यासाठी तर कोणते कोणते डॉक्युमेंट्स लागतील?",saarika:v2.5,,,pending_review,,2026-02-05T21:37:20.186658
Helpdesk,Hd_Q_12.ogg,"मी प्रमिला जाधव, माझ्या मुलीच्या स्कॉलरशिपचा फॉर्म भरायचा आहे. कोणते कोणते डॉक्युमेंट्स घेऊन येऊ?",saarika:v2.5,,,pending_review,,2026-02-05T21:37:23.030334
Helpdesk,Hd_Q_13.ogg,मी बेबी बर्फ आहे. माझा आधार कार्ड अपडेट केलेला अजून आला नाही आहे. ते मला पाहिजेच आहे.,saarika:v2.5,,,pending_review,,2026-02-05T21:37:26.920463
Helpdesk,Hd_Q_14.ogg,"मी वर्षा किरकिरे स्टिचिंग डिपार्टमेंटमध्ये आहे. मी आधार कार्ड अपडेट केलं, ते अजूनपर्यंत आलं नाही आहे.",saarika:v2.5,,,pending_review,,2026-02-05T21:37:30.198307
Helpdesk,Hd_Q_15.ogg,"मी लता पाटील, मला पोस्टर सेव्हिंग अकाउंट खोलायचा आहे. 
ओपन करायचा आहे. 
तर कोणकोणते डॉक्युमेंट पाहिजे?",saarika:v2.5,,,pending_review,,2026-02-05T21:37:33.373949
Helpdesk,Hd_Q_16.ogg,मी विद्या मगरे माझ्या मुलीचे स्कॉलरशिपचे फॉर्म भरायचा आहे. त्याच्यासाठी कोणते कोणते डॉक्युमेंट लागणार आहेत?,saarika:v2.5,,,pending_review,,2026-02-05T21:37:37.504609
Helpdesk,Hd_Q_17.ogg,"मी सारिका कांबळे, पोराचा पीपीएल अकाउंट ओपन करायचं आहे, काय काय डॉक्युमेंट्स लागणार?",saarika:v2.5,,,pending_review,,2026-02-05T21:37:40.648732
Helpdesk,Hd_Q_18.ogg,मी कृतिका सावरे माझ्या ना मुलींचा अकाउंट मध्ये पैसे भरायचे आहेत तर ते कसे भरायचे आहेत सुकन्याचे,saarika:v2.5,,,pending_review,,2026-02-05T21:37:44.160476
Helpdesk,Hd_Q_19.ogg,"मैं इंदु जयस्वाल, आपने जो सेशन लिया था उस पॉलिसी का नाम क्या है, हमें जानना है।",saarika:v2.5,,,pending_review,,2026-02-05T21:37:47.083934
Helpdesk,Hd_Q_20.ogg,मेरा नाम टी बामा मेरा पैन कार्ड नाम चेंज करने का आधार कार्ड अपडेट किया क्या क्या डॉक्यूमेंट चाहिए,saarika:v2.5,,,pending_review,,2026-02-05T21:37:50.884769
Helpdesk,Hd_Q_21.ogg,"मेरा नाम कलेर है सी, मेरे को आयुष्मा कार्ड बनाने को उसको कह कर ट्राक्मेट चाहिए।",saarika:v2.5,,,pending_review,,2026-02-05T21:37:53.687035
Helpdesk,Hd_Q_22.ogg,"मी निकिता महाले, माझ्या मुलाचं रेशन कार्डवरती नाव चढवायचं आहे. त्याच्यासाठी काय काय डॉक्युमेंट लागतील?",saarika:v2.5,,,pending_review,,2026-02-05T21:38:00.062713
Helpdesk,Hd_Q_23.ogg,मी शीला सदा फुले माझ्या नवऱ्याचा आधार कार्ड अपडेट केलेला आहे ते आले नाही आहे,saarika:v2.5,,,pending_review,,2026-02-05T21:38:03.190306
Helpdesk,Hd_Q_24.ogg,,saarika:v2.5,,,error,,2026-02-05T21:39:49.079389
Helpdesk,Hd_Q_25.ogg,"मैं रेखा आकाश परदेसी बोल रही हूँ, बॉम्बे सेंटर बीसी से। मुझे मेरे राशन कार्ड का इनकम कम कराना है, तो उसका हल कैसे निकलेगा? छोडूँ?",saarika:v2.5,,,pending_review,,2026-02-05T21:39:52.436106
Helpdesk,Hd_Q_26.ogg,मला आयुष्यमान कार्ड बनवायचं आहे,saarika:v2.5,,,pending_review,,2026-02-05T21:39:54.788330
Helpdesk,Hd_Q_27.ogg,हाय मी शैनाज बाबा मला लोन पाहिजे एक लाखापर्यंत मिळू शकतो का,saarika:v2.5,,,pending_review,,2026-02-05T21:39:57.513755
Helpdesk,Hd_Q_28.ogg,,saarika:v2.5,,,error,,2026-02-05T21:40:01.467880
Helpdesk,Hd_Q_29.ogg,"मेरा नाम वंदना है, मैं मुंबई सेंट्रल ऑफिस से बोल रही हूँ। मुझे ना मुझे मेरा मानकोर से राशन कार्ड है, तो मुझे यहाँ पर ट्रांसफर करवाना है।",saarika:v2.5,,,pending_review,,2026-02-05T21:40:05.109722
Helpdesk,Hd_Q_30.ogg,मी संध्या पवार बोलते माझं आधार कार्ड पॅन कार्ड लिंक झालं आहे आर डी खोलण्यासाठी कोणते कोणते डॉक्युमेंट्स लागतील ते सांगा,saarika:v2.5,,,pending_review,,2026-02-05T21:40:08.231079
Helpdesk,Hd_Q_31.ogg,मी संगीता नडगे माझ्या मुलाचं आधार कार्ड अपडेट केलेलं आहे पण अजून आलेलं नाही,saarika:v2.5,,,pending_review,,2026-02-05T21:40:11.335076
Helpdesk,Hd_Q_32.ogg,गुडमेश कुमार मुझे आई स्मेल कार्ड निकालना है,saarika:v2.5,,,pending_review,,2026-02-05T21:40:14.026147
Helpdesk,Hd_Q_33.ogg,"मी नीलम मिरके, माझ्या मुलांचं राशन कार्डावरती नाव चढवायचं आहे आणि माझं पण नाव चढवायचं आहे.",saarika:v2.5,,,pending_review,,2026-02-05T21:40:17.477335
Helpdesk,Hd_Q_34.ogg,"मी निकिता महाले, मला मॅरेज सर्टिफिकेट काढायचं आहे, काय काय डॉक्युमेंट लागतील?",saarika:v2.5,,,pending_review,,2026-02-05T21:40:20.389436
Helpdesk,Hd_Q_35.ogg,"मॅडम मी कल्पना लोतडे, मला मॅरेज सर्टिफिकेट बनवायचं आहे. त्याच्यासाठी काय काय डॉक्युमेंट्स लागणार आहेत?",saarika:v2.5,,,pending_review,,2026-02-05T21:40:23.912632
